播主昵称,达人详情链接,抖音号,播主粉丝数,视频标题,发布时间,视频时长,传播指数,点赞,评论,分享,收藏,播放,热词,视频详情链接,视频链接
玫瑰.,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=41604573&tab=&ts=1719989024&sign=89c63494d5451c6a651d8568ce8e73dd,Enchant912,33454,别犹豫，艾特想穿婚纱的那个人#每个女孩的婚纱梦 #感受一下穿婚纱的感觉 #想看看你穿婚纱的样子 #我的婚纱造型 #娇妻滤镜,2024/6/30 21:32:21,9秒,90.2,43194,1675,55476,5429,2154957,"拒绝,女色,做起,不白看,婚纱,好看,喜欢,广东,你点赞,爱看,承认,党和人民,四川,儿子,好人,男人,姿色,老子,发誓,有钱,给我,视频,漂亮大方,肤白,腿长,招财,旺夫,生活,规律,后妈",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386288612670786816&dateCode=20240630&ts=1719989024&sign=b3f59b16143275d85b5a00dfc182542f,https://www.douyin.com/share/video/7386288612670786816/?mid=
23岁俏寡妇,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=52222732&tab=&ts=1719989024&sign=2abbc978b29ff473f89d8a3c20890289,duiqi85701,8981,图：魔王的城堡追逐战#蛋仔派对世纪圆舞会#蛋仔派对#蛋仔整活二创#蛋仔游戏分享#蛋仔奇思妙想计划,2024/6/27 13:49:09,5分38秒,90.2,73043,3591,8808,26686,3818817,"蛋仔,魔王,城堡,地图,宕机,追逐战,玩过,蜘蛛,想玩,感觉,爱心,蛋仔派对,音乐,发呆,名字,OK,好玩,简单,极限,原版,好刺激,九转,大肠,进化,这是,作者,好好玩,我去,激光,不玩",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385055956276661544&dateCode=20240627&ts=1719989024&sign=25f0817fbf19be67425262a0e5ea8f1f,https://www.douyin.com/share/video/7385055956276661544/?mid=
情感英文馆🔥,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=61036655&tab=&ts=1719989024&sign=ba47b6a423ff010d0df4af25311fabd9,LZYLGo,17631,"这才是真正的爱 Sex is not love. Going on dates is not love. Talking to someone twenty-four seven is not love. Up all night for someone is not love. Love is someone who sees the harsh side of you and still chooses to love you.
#英语学习素材 
#英语学习
#每日英语口语
#情感英文口语
#听英语学口语",2024/6/27 12:11:22,20秒,90.2,92691,3413,81603,33756,5558708,"糟糕,爱是,选择,目睹,爱你,是爱,的人,真正的爱,什么是爱,在一起,爱情,不爱,你说,约会,不离不弃,聊天,没有爱,心疼,感谢,付出,love,爱不爱,就是爱,爱我,父母,喜欢,女人,is,男人,黏在",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385030779761397029&dateCode=20240627&ts=1719989024&sign=47efd244492268ebd15fa66376df0440,https://www.douyin.com/share/video/7385030779761397029/?mid=
🇨🇳北京十九环既,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=65683279&tab=&ts=1719989024&sign=274dd727bd1487ec01f7f6f6e82993cc,dy7a1p24radk,10603,[🇨🇳北京十九环既](2024-06-27)发布的视频,2024/6/27 14:08:49,4分58秒,90.2,85114,19363,22635,14640,3303952,"美女,感谢,爱心,太对了,点赞,你点赞,你说,太好了,现实,支持,给美女,说的真好,说得对,抱拳,讲得,说出,说得好,社会,真好,道理,咖啡,真实,中国,太对,大实话,实话,到位,主播,正能量,真对",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385061000128646411&dateCode=20240627&ts=1719989024&sign=bc716732db944deaff66e65ee3287f75,https://www.douyin.com/share/video/7385061000128646411/?mid=
壳子不帅,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=64326760&tab=&ts=1719989024&sign=f16e3f1013274c45ebb0906ef3c8a0c0,44742750096,64442,列车开往那春天 新的故事正开篇 #自由和远方 #骑行 #女骑 #骑行随拍#歌曲列车开往春天,2024/6/27 17:00:01,14秒,90.2,226903,5555,49673,21774,8891661,"骑车,骑行,好帅,喜欢,兄弟,好看,自行车,眼镜,感觉,不乱,自由,美女,好酷,链接,灵机一动,好喜欢,队伍,姐姐,头盔,列车,开往,不磨,圈乱,潇洒,广州,新的故事,就来,好像,漂亮,有图",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385018816939511078&dateCode=20240627&ts=1719989024&sign=e51769f7221e8a65529b1f6bb1a84362,https://www.douyin.com/share/video/7385018816939511078/?mid=
飛 飛,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=54724876&tab=&ts=1719989024&sign=7e296acff02b00539d8290fc38602199,h1363352738,17980,[飛 飛](2024-06-30)发布的视频,2024/6/30 19:35:17,23秒,90.2,60150,7910,22535,11291,4629717,"感谢,爱心,女人,致敬,伟大的,红嫂,点赞,最美,尊敬,中国,善良,值得,敬礼,女英雄,女性,咖啡,沂蒙,大嫂,英雄,明星,平安果,嫂子,你点赞,中国女人,妈妈,大娘,崇高,祝福,子弟兵,换来",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386258447194475802&dateCode=20240630&ts=1719989024&sign=bce5dcb7c25b2b5742c3c0e3e5a203d0,https://www.douyin.com/share/video/7386258447194475802/?mid=
花姐农村日常,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=51987252&tab=&ts=1719989024&sign=e3e0fe53b9a5a69dd14c1284b0e1db3a,77140655856,21356,干活回来又饿，天气又太热，没什么胃口#抖音新农人 #新农人计划 #三农 #记录真实生活 #勤劳的农村人,2024/6/30 11:50:16,1分25秒,90.2,34716,13984,196759,7251,12523228,"胃口,筷子,没什么,一大碗,一碗,能吃,饭量,鸭头,大碗,吃不完,碗饭,吃了,太热,天气,没味,吃饭,吃不下,三天,有味,吃的,美女,看你,干活,两天,味道,这是,农村,味口,估计,动作",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386138598371757366&dateCode=20240630&ts=1719989024&sign=7a99891dfca348b6e126b3a44310b14b,https://www.douyin.com/share/video/7386138598371757366/?mid=
49769097070,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=16625821&tab=&ts=1719989024&sign=f220d99c34c2a2ae37ac32381af69ed1,49769097070,51986,刚才侄女打电话来找我借钱，说她马上放暑假了，准备和几个同学一起去泰国旅游，我就把他爸搬货的视频发给她看，问她要借多少…,2024/6/27 10:08:26,9秒,90.2,30325,6588,16387,2725,8185176,,https://dy.feigua.cn/app/#/video-detail/index?awemeId=7384999098115558668&dateCode=20240627&ts=1719989024&sign=dd3d056abfc2c5b684e838f2f2c4b980,https://www.douyin.com/share/video/7384999098115558668/?mid=
淡水秋实🎣,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=65759468&tab=&ts=1719989024&sign=d06533eee6e8bd55861da4cdc3d343d4,131472465,1659,#狗子的幸福,2024/6/30 22:02:21,11秒,90.2,92945,13177,77685,10880,8975330,"快乐,狗子,房贷,音乐,开心,拆迁,车贷,这是,单身狗,完了,万茜,吃了,还不如,给它,应该是,还清,狗狗,一条狗,烫脚,狂犬病,配音,感觉,跳舞,贷款,广场舞,找到,拆迁户,灵机一动,配乐,狗窝",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386296344803118355&dateCode=20240630&ts=1719989024&sign=7724f2fcb5492de6d406ce328dae9ae8,https://www.douyin.com/share/video/7386296344803118355/?mid=
动物凶萌🦦,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=65721047&tab=&ts=1719989024&sign=398184c60490bb8a102cd392259e5f0e,44336866919,424,住手！你们不要再打了！cr. tanu_tane11231213#萌宠出道计划 #安格鲁貂 #宠物 #貂 #神奇动物在抖音,2024/6/29 12:29:28,6秒,90.2,183636,48472,158545,4511,3200972,"死亡翻滚,宕机,滚筒洗衣机,打架,OK,笑死我了,评论区,鳄鱼,九转,大肠,发呆,转圈圈,师傅,傻貂,破不了招,牙通牙,貂蝉,爱的魔力,翻滚,旋转,没见过,衣服,亲嘴,看评论区,疑问,笑死了,评论,帮我,见过,这是",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385777623177170217&dateCode=20240629&ts=1719989024&sign=3b65f388e7db59cbe02c7050709941d7,https://www.douyin.com/share/video/7385777623177170217/?mid=
深井冰离我远点,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=45827509&tab=&ts=1719989024&sign=fe79c6219eecf2d3a146755201e2c2a1,xinyutong123.,9545,#辽宁省交通高等专科学校 #消防演习我们是认真的 #已老实,2024/6/27 21:51:14,11秒,90.2,320963,24520,810425,9620,15201606,"裤子,九转,大肠,宕机,脱裤子,拉屎,蛐蛐,笑死我了,不让,OK,掉了,同学,大小便,学校,发呆,消防员,不顾,尴尬,顾头,感觉,举起手来,救火,这是,潘长江,笑死了,暗中观察,救人,作者,努力,好像",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385180222825483560&dateCode=20240627&ts=1719989024&sign=16e9ff9ad2c9396c16eb29d78bbf7bfe,https://www.douyin.com/share/video/7385180222825483560/?mid=
月月,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=24402070&tab=&ts=1719989024&sign=ee643436404e8f5e3970d05eafe8ec9e,50464095505,1022946,绑不住姐的心你就别说姐花心，舍不得几两银你就别说姐拜金，跟不上姐脚步你就别给姐定义，摸不透姐心情 你别怪姐有脾气！#绑不住姐的心,2024/6/26 18:38:46,20秒,90.2,145496,6342,38154,81167,8885717,"打麻将,花心,好听,拜金,心情,别怪,女人,跟不上,有脾气,舍不得,摸不透,脚步,爱心,定义,给姐,打牌,喜欢,的人,有没有,男人,毒鸡汤,感觉,感谢,美女,年代,歌词,一个女人,麻将,打游戏,但凡有",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7384759529008844043&dateCode=20240626&ts=1719989024&sign=6cd36e7900c43e67b4541334b8fd64ad,https://www.douyin.com/share/video/7384759529008844043/?mid=
机车界的渣渣輝,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=9203075&tab=&ts=1719989024&sign=0f01e157f18a19e69c385a4518d2cfaf,Wzhazhahui,52899,22天 我骑着三蹦子跨越4500公里都到了，你还在等什么呢？#机车界的渣渣辉 #意想不到的结局 #保持热爱奔赴山海,2024/7/1 12:52:02,15秒,90.2,101129,12737,90685,2260,3932945,"评论区,进藏,出发,三蹦子,西藏,牛逼,方式,不多,留给,拉萨,看评论区,宕机,三轮,九转,大肠,三轮车,笑死我了,OK,月姐,评论,发呆,直达,阿普利亚,青春,售价,搭子,有没有,东西,交警,摩托车",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386525617627467044&dateCode=20240701&ts=1719989024&sign=5557b150e3e7b26e217621ddddf39c6b,https://www.douyin.com/share/video/7386525617627467044/?mid=
记者现场,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=22925071&tab=&ts=1719989024&sign=aaa52b4f4edc4f5dbe6b857bcb72ed36,76647927548,2072681,网友遇到四只狗狗排队钻洞，没想到最后一大只也能钻进去#狗狗 #狗狗的心思都写在脸上了 #可爱,2024/7/1 15:30:00,22秒,90.2,266277,36743,326075,8664,8613170,"土豆,大会,丧彪,狗狗,狗子,朋友,不相干,九转,大肠,叫你,狐朋狗友,成群结队,不认识,我家,组织,感觉,拉帮结派,这是,有朋友,面子,快乐,的狗,狗洞,小狗,好想,刀疤,出去玩,别叫,好快乐,好可爱",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386519849897397556&dateCode=20240701&ts=1719989024&sign=fa3302da519f9af95284d7e129ff83a6,https://www.douyin.com/share/video/7386519849897397556/?mid=
Genieße es.,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=64449996&tab=&ts=1719989024&sign=9030a10ff6d60710093fc9132111881f,75582872211,2400,真正的实力就是清唱也很强#justinbieber #baby #清唱 #音乐分享 #贾斯汀比伯,2024/6/28 17:12:31,46秒,90.1,236651,4493,30583,18281,3604342,"好听,比伯,喜欢,英语,OK,baby,好好听,首歌,感觉,清唱,时期,白月光,发呆,猪头,声音,豪庭,love,you,嗓音,弹幕,逞强,落泪,好喜欢,小学,刷到,贾斯汀,英文,男神,抱抱,暴富",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385479450906922291&dateCode=20240628&ts=1719989024&sign=717e6c52a4c7be0e36d522e677d12745,https://www.douyin.com/share/video/7385479450906922291/?mid=
Makemore_Chen,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=62475713&tab=&ts=1719989024&sign=b148cee7cc30dab2fce8b1af05e6605e,82602519031,27659,她说 镜头是用来回忆的 #makemore #美式 #卫衣穿搭 #牛仔裤 #aj,2024/6/28 16:56:42,,90.1,86785,483,10904,11041,1308340,"卫衣,宝宝,喜欢,好看,裤子,链接,穿搭,衣服,风格,好帅,行李箱,帽子,大学生,好好看,黄色,镜头,谢谢,身高,眼含,热泪,勾引,钱包,猪头,来看看,便宜,好喜欢,酷酷,感觉,爱了,回忆",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385475406243122466&dateCode=20240628&ts=1719989024&sign=6765402141282970bf9a5642b319e586,https://www.douyin.com/share/video/7385475406243122466/?mid=
比那多超市临安店小吴,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=64440478&tab=&ts=1719989024&sign=8efbedcfe006c7f51d39076ef4d8d677,40647697429,1008,综艺界的搞笑翻倍！这些节目让你笑到肚子疼！#综艺搞笑 #娱乐搞笑,2024/6/28 10:36:01,52秒,90.2,145378,2846,49577,2003,5868448,"破防,小孩,外国人,破防了,骂人,老外,笑死我了,吵架,ugly,OK,宕机,九转,大肠,不吃,中国人,吃人,英语,感觉,中国,猫狗,稳定,狗肉,祖宗,十八代,you,发呆,国家,学英语,情绪,冰淇淋",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385377275740491047&dateCode=20240628&ts=1719989024&sign=b691a1357e74714da2ccfdd3ff4435cf,https://www.douyin.com/share/video/7385377275740491047/?mid=
VSOP音乐电台,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=55970274&tab=&ts=1719989024&sign=5ce3b538219ab020c8f1276dd763d185,51479963227,11214,张子豪因为法老没说自己土狗 发歌Diss法老 #张子豪 #法老 #diss #活死人 #说唱,2024/6/27 23:19:27,30秒,90.2,125709,5543,43350,4674,9480475,"diss,法老,张子豪,OK,吃醋,asen,kis,土狗,宕机,笑死我了,说唱,感觉,笑死了,发呆,九转,大肠,digi,抽象,张峻豪,er,app,看成,活死人,喜欢,说唱圈,low,新秀,确实,真土,大战",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385202762952248627&dateCode=20240627&ts=1719989024&sign=dcb9390e3b02d6634249917aa65f29cc,https://www.douyin.com/share/video/7385202762952248627/?mid=
李师傅教你变强,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=45635365&tab=&ts=1719989024&sign=00cde7495d02e8d70aa6785ddb51322c,12asdwdgjhvvffhh,38466,地表最强小女孩。气质这一块拿捏的稳稳的。#朝鲜 #观天下,2024/6/27 21:06:36,2分42秒,90.2,74494,3861,14077,15856,9756548,,https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385168718877314331&dateCode=20240627&ts=1719989024&sign=90bd1ca05ed4c309fdb95a6e0f8060f3,https://www.douyin.com/share/video/7385168718877314331/?mid=
小红师傳,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=24775302&tab=&ts=1719989024&sign=ba8e6f55c9e16cff5e6f5b313fd0fad2,xiaohongshic,15471,#有感而发 #现实社会,2024/6/27 12:13:04,2分36秒,90.1,168918,44112,18747,9501,4317850,"农村,酒席,干净,农村的,卫生,酒店,美女,饭店,城市,都是,预制菜,太对了,农村人,大酒店,好吃,食材,爱心,新鲜,你说,厨师,后厨,新鲜的,姑娘,干净卫生,的人,东西,确实,做的,大饭店,感谢",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385031200500485416&dateCode=20240627&ts=1719989024&sign=3762713804694bab60229b3b50016693,https://www.douyin.com/share/video/7385031200500485416/?mid=
甜梦阁✨,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=42227345&tab=&ts=1719989024&sign=b397c8b9c07ce8c2e8fe531f1c62d016,HH5520013,129478,“骑车柳如烟”#这谁能顶得住啊 #骑行city不city #女骑,2024/6/26 22:50:10,7秒,90.1,57695,1451,33242,5516,2172115,"爱看,好看,喜欢,新号,发呆,骑车,艾特,你好,闪闪惹人爱,摩托车,听说,如烟,大帝,爱了,男人,色狼,你们老婆,机车,勾引,这是,带我,调皮,无敌了,危险,难免,柳如烟,猪头,暧昧,越界,身材",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7384824295161122060&dateCode=20240626&ts=1719989024&sign=2800c0f29a6574a66ef64b023ef8e4bd,https://www.douyin.com/share/video/7384824295161122060/?mid=
一只学霸,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=16407994&tab=&ts=1719989024&sign=9892a77d6a91661296e31419c1c2dd78,Yizhixueba888,1299435,外公答应你的（素材来源@王伯德 ）#感人 #催泪 #亲情,2024/7/1 20:15:56,49秒,90.1,874744,43891,318868,30816,11058348,"蝴蝶,哭了,外公,去世,爷爷,奶奶,蛾子,外婆,眼泪,去世了,逞强,落泪,爸爸,蓝色,妈妈,眼含,热泪,眼睛,虫子,飞来,走了,科学,我想,希望,全家,喜欢,解释,找我,好像,害怕",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386639979025419520&dateCode=20240701&ts=1719989024&sign=c88b4cc649dc4acee037d644b2d41474,https://www.douyin.com/share/video/7386639979025419520/?mid=
小鱼包🍥,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=16852072&tab=&ts=1719989024&sign=659b04590fa8562d7ca9ad46aca925d6,owofanfan,47883,"拉屎爱好者太爱了
#applevisionpro",2024/6/29 22:59:37,18秒,90.1,180439,39650,305823,7448,10174453,"拉屎,想要,感觉,宕机,发呆,拉野,适合,卧槽,瑞克,想买,喜欢,买个,体验,vision,我要,场景,pro,痔疮,大肠,我去,给我,九转,马桶,苹果,能不能,好爽,有钱,高级,东西,爱好者",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385940002795982099&dateCode=20240629&ts=1719989024&sign=fb6d2fe5c0570f9fe00d2708e3fbc307,https://www.douyin.com/share/video/7385940002795982099/?mid=
是山东老张啊,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=52134183&tab=&ts=1719989024&sign=b7268a549ac5b0898e67d7db1a5b8aad,35310309435,4107,两只小鸟#是山东老张啊,2024/6/29 11:53:43,53秒,90.1,63806,11507,48222,4770,8375045,"买票,坐飞机,乌鸦,飞机,八哥,发动机,危险,小鸟,机场,顺风,驱鸟,逃票,站票,搭个,吸进,这是,机票,两只,免费,顺风车,机长,翅膀,起飞,吸进去,机翼,补票,空姐,九转,大肠,挂票",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385768408320724251&dateCode=20240629&ts=1719989024&sign=628c91284e66660c4f15b65a851e6e30,https://www.douyin.com/share/video/7385768408320724251/?mid=
嘻哈爆笑社,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=34025057&tab=&ts=1719989024&sign=c45a717066993064def4ed9cfb2e6845,41648277943,391509,小英一家天生就是吃互联网着碗饭啊，这个家只有下拉如自己心疼自己#娱乐评论大赏 #小英一家 #下拉如 #搞笑,2024/6/28 14:01:26,4分4秒,90.1,192411,16182,364786,6147,9433337,"下拉,没事,笑死我了,小英,笑死了,笑死,上拉如,一家,麻雀,九转,大肠,好可爱,拼音,好好笑,小三,要饭,宕机,小宝,好搞笑,回来,干活,女孩,喜欢,OK,孩子,小孩,刷到,笑死我,太搞笑了,感觉",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385430214928518410&dateCode=20240628&ts=1719989024&sign=d71c8014f0405feb484fb8c19eb003d3,https://www.douyin.com/share/video/7385430214928518410/?mid=
R Y H,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=50214015&tab=&ts=1719989024&sign=c0ce75940aeb1f934e7e72e544391f29,722031336,5601,#这是一个悲伤的故事 散装英语，硬刚散装国语,2024/6/30 16:52:45,18秒,90.1,89790,5597,67170,2616,9408135,"老外,中文,英文,李子,man,ner,英语,水果,听不懂,说中文,外国人,自己翻译,外语,常德,九转,大肠,博主,宕机,sweet,听懂,笑死我了,练习中文,机会,off,不知道,湖南,OK,中国人,急得,er",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386216539059539251&dateCode=20240630&ts=1719989024&sign=9252c0b1e8c4e4e8dfce1f44be479f6c,https://www.douyin.com/share/video/7386216539059539251/?mid=
7k🎧,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=28045000&tab=&ts=1719989024&sign=d26eb197ab0a075a507911572808fba1,starkyyds,68553,如果我当时在快点就好了!#安德鲁加菲尔德 #蜘蛛侠,2024/6/29 19:19:49,16秒,90.1,651463,8085,114459,53609,6601424,"格温,蜘蛛侠,蛛丝,加菲,意难平,遗憾,逞强,落泪,蜘蛛感应,教你,我去,引以为傲,电影,厨房,哭了,剪辑,超凡,了我,戏里,喜欢,感觉,救人,看过,彼得帕克,给你,哥们,MJ,现实,好了,死亡",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385883362633764123&dateCode=20240629&ts=1719989024&sign=8fe5ab2c340d8582cb2dfddf13d69ed5,https://www.douyin.com/share/video/7385883362633764123/?mid=
独牙赛事,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=24237597&tab=&ts=1719989024&sign=1affbb307e2283e584cf179386f614c9,JUEJIN9,78230,独牙传奇中式九球大师赛赛场上的小奥奥，有技术更有节目，现场欢乐一片！#独牙 #小奥奥 #“奥秘·李斯”杯独牙传奇中式九球大师赛临海巅峰对决,2024/6/28 17:14:44,26秒,90.1,44784,499,26245,840,5404344,"潘晓婷,奥奥,超子,奥子,懂点,致敬,小奥,裁判,摄像,笑死我了,比赛,小团团,赢了,篓子,流量,这是,犯规,多余,是吧,台球,真有,无聊,代码,躺平,身材,抓住,动作,暗中观察,团团,输了",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385480071231851791&dateCode=20240628&ts=1719989024&sign=49a845d23deedbe79dc54ec641e3d9e7,https://www.douyin.com/share/video/7385480071231851791/?mid=
你好徐州,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=19870274&tab=&ts=1719989024&sign=6a1695fa8bbd96994e688df210ac37e4,nihaoxuzhou,130628,#薛之谦 都留不住的人，#薛之谦徐州演唱会 又抓到了一个早退的，被#谦友 拍到原来是急着去吃海底捞了#薛之谦 #薛之谦天外来物巡回演唱会,2024/6/28 16:06:33,31秒,90.1,101005,3122,53161,2721,12745859,"海底捞,薛之谦,老婆,衣服,男人,演唱会,同款,九转,大肠,早退,看演唱会,暗中观察,我爱老婆,发呆,背心,喜欢,提前,好可爱,感觉,输给,应援棒,爱老婆,性格,有点像,有没有,对象,好像,网友,结束了,走了",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385462464609045775&dateCode=20240628&ts=1719989024&sign=29b8f339ce82adaa3249d47f50af148a,https://www.douyin.com/share/video/7385462464609045775/?mid=
小心震慑,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=62473705&tab=&ts=1719989024&sign=678133c93819bd6a72b79d03a99438a0,80370864698,2590,不至于吧。。。。。。。#第五人格 #第五玩家拯救世界 #第五人格心跳特辑,2024/6/28 17:37:57,13秒,90.1,101249,5395,17387,5230,2778064,"OK,宕机,知更鸟,监管,先知,开局,笑死我了,切后台,加速,九转,大肠,盗视频的,队友,椅子,转点,游戏,发呆,吃刀,第五人格,天崩开局,操作,抗刀,人机,刷点,后台,上了,花球,扛刀,给鸟,网易",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385486019363147023&dateCode=20240628&ts=1719989024&sign=ea41bd89860e2aa4c048814960ed7fc2,https://www.douyin.com/share/video/7385486019363147023/?mid=
微凉📷²ᴮ,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=53102586&tab=&ts=1719989024&sign=ca65b9248ff30bc9a94ee4fdcb95b4c2,X990796356,5963,#随拍 #演员请就位 到我了到我了,2024/6/29 12:46:23,13秒,90.1,65782,22125,378541,3842,6176448,"导演,OK,我行,朋友,我来,让我,可以吗,想演,适合,你看,演员,我兄弟,群演,给你,角色,倒贴,机会,不要钱,报名,九转,大肠,工作,多少钱,本色出演,不行,我可以,专业,兄弟,发呆,我了",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385781969365241124&dateCode=20240629&ts=1719989024&sign=5be07831e29248227d3762db2118aa31,https://www.douyin.com/share/video/7385781969365241124/?mid=
微视中国,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=36225137&tab=&ts=1719989024&sign=4c8011ffe80e589392f88f4d99ad9441,49922976366,50662,外卖骑手等待出餐的时间轮流带娃 外卖#带娃 #外卖骑手 #美团骑手 #生活中的小美好 ,2024/6/28 14:19:49,1分37秒,90.1,27665,6217,40910,764,1128319,"有爱,孩子,好可爱,温暖,外卖小哥,真好,尸体,取餐,的人,美好,宝宝,生意,爱心,善良,感动,世界,骑手,暖心,生活,小哥,太有爱了,抱抱,好暖,小孩,外卖员,叔叔,接力,美团,画面,老板",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385434937014488332&dateCode=20240628&ts=1719989024&sign=19f8105f2802f92c2c7905a3827e4ad4,https://www.douyin.com/share/video/7385434937014488332/?mid=
小趴菜🔥,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=54120194&tab=&ts=1719989024&sign=46fba7e105854218ba6f545bde04025e,75162495209,26176,#剧情演绎 #原创视频 #超市买单短剧 这么去老丈人家，你们猜结局会怎么样,2024/6/27 19:38:14,4分50秒,90.1,114127,26375,224447,21110,16737061,"老板,老丈人,店老板,大舅哥,东西,丈母娘,女婿,袋子,估计,回家,气死,生意,吃饭,空手,女儿,女朋友,过日子,这是,超市,笑死我了,大客户,店主,卫生巾,气死了,给你,着急,丢人,口音,后续,我家",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385145941029866763&dateCode=20240627&ts=1719989024&sign=4ce14e18ea9539734e7334f071af2e00,https://www.douyin.com/share/video/7385145941029866763/?mid=
难得糊涂小酒馆.,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=44314445&tab=&ts=1719989024&sign=b5e9f5010158ce28d90648afa8883e06,nandehutu7778,21923,怎么遇到帅哥酒量还自动变差啊#小酒馆,2024/6/26 18:03:15,7秒,90.1,89580,27337,100997,1838,2081799,"努力,努力点,闺蜜,OK,醉了,一杯,努努力,出息,喝酒,九转,大肠,男人,清醒,我就,调皮,能不能,组局,酒量,求你了,暗中观察,安排,笑死我了,再努力一点,床上,我没钱,好东西,清华,姐妹,搞笑,场面",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7384750379214458149&dateCode=20240626&ts=1719989024&sign=d2f04f8e60127442fdefc300d7c0eab7,https://www.douyin.com/share/video/7384750379214458149/?mid=
江川film,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=14609639&tab=&ts=1719989024&sign=12ccca11603d565e03043df8d25cbc1c,20312754,16087,7月1日暴雨还在持续，汉口江滩已开启观海模式 #涨水后的汉口江滩 #直击长江水位上涨 #汉口江滩 #五口之家,2024/7/1 12:51:19,8秒,90.1,44672,10389,110706,4176,8229772,"武汉,一家,五口,江滩,感谢,下雨,长江,还能,被淹,游泳,湖北,大雨,还好,地方,天气,有没有,武汉人,听说,暴雨,淹死,襄阳,注意安全,OK,看海,回来了,来点,九转,大肠,河南,钓鱼",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386525410282016039&dateCode=20240701&ts=1719989024&sign=398b2f7f5687d8d4ae8cd73027dfb8bc,https://www.douyin.com/share/video/7386525410282016039/?mid=
