播主昵称,达人详情链接,抖音号,视频标题,发布时间,视频时长,热词,视频详情链接,视频链接,PC1,PC2
亨特训犬 火火,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=57011885&tab=&ts=1719989024&sign=1e92d3c2bc9786076beb7c36e815d35d,46209074920,我粉丝不多，但是我不会沉默，投毒害死小熊和福宝两条狗狗的生命，总要付出代价。#小熊和福宝 #投毒#氟乙酸 #河北廊坊 #今日我若冷眼旁观他日亦无人为我摇旗呐喊,2024/6/27 18:50:47,1分57秒,"廊坊,投毒,公安,河北,氟乙酸,剧毒,边牧,狗狗,杀人未遂,国家,危险,持有,物质,的人,发声,毒死,邻居,警察,严惩,希望,评论,感谢,新闻频道,央视新闻,严查,有期徒刑,购买,法治在线,法律,生命",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385133710795935002&dateCode=20240627&ts=1719989024&sign=b1d947a16b4f74fc6e4f161fec026947,https://www.douyin.com/share/video/7385133710795935002/?mid=,3454588.173797731,-18043.323203803597
娱乐调查局,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=8033030&tab=&ts=1719989024&sign=9ab786dbd0ffe0859505bce8a05b470c,yulediaochaju007,会计绝不会被AI替代 #会计绝不会被AI替代 #会计 #财务,2024/7/1 15:33:29,34秒,"会计,志愿,OK,九转,大肠,工资,别搞,专业,老板,刚报,行业,会计专业,都是,审计,会计学,月薪,高危,很高,够了,老子,学校,宕机,提篮桥,好惨,高危职业,大行,进去了,别学,感谢,坏了",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386567228012956968&dateCode=20240701&ts=1719989024&sign=3fa6a8cadef4a6fa5b56044d0a521585,https://www.douyin.com/share/video/7386567228012956968/?mid=,4601071.7951115295,164479.58557095335
罐罐啊,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=6153033&tab=&ts=1719989024&sign=dd88a5cc5ab648f9bda5b2ea99c682af,37736292,#我和流浪猫的故事 #奶牛猫 #黑猫警长 #记录猫咪日常,2024/6/26 20:26:23,17秒,"奶牛猫,流浪猫,我家,警长,奶牛,好漂亮,流浪,小猫,好可爱,好像,羡慕,自由,猫猫,收养,有猫,家猫,领养,干净,小区,回家,感觉,感谢,妈妈,带回家,两只,喜欢,黑猫警长,漂亮,牛奶猫,小奶牛",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7384787292428209446&dateCode=20240626&ts=1719989024&sign=f5d6a0ba76b9769588416b160a3eff26,https://www.douyin.com/share/video/7384787292428209446/?mid=,-2229076.9495280893,39925.10573412829
苹果咬肌👌,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=57370330&tab=&ts=1719989024&sign=c0bcd0403f9c930d68fdcb9f4aaff211,77013715855,当我弟还在为作业烦恼时…#内容引起舒适 #好孩子,2024/6/30 12:37:18,11秒,"弟弟,OK,我弟,老实,九转,大肠,想到,放假,作业,写作业,我妹,调皮,抽象,crush,感觉,就想,上学,宕机,辅导作业,毕业生,裂开,笑死我了,给我,状态,喜欢,小猫,想谈,家暴,贱贱,都是",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386150726004788520&dateCode=20240630&ts=1719989024&sign=bd9e261b96fa59aaa45ad01876db8eb4,https://www.douyin.com/share/video/7386150726004788520/?mid=,-2137053.7504931805,39975.322187356265
潘宏爱玩儿狗录屏号,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=54124302&tab=&ts=1719989024&sign=bc8e43dbde5a540476d3699f94e25dd1,22481928231,这狗寻思今天过年了 @潘宏爱玩狗 @赵静和潘宏 #直播录屏分享 #看一遍笑一遍 #养狗经验分享 #边牧 ##潘宏,2024/6/29 2:14:17,7分11秒,"主人,我家,护食,笑死我了,边牧,狗粮,笑死了,养狗,吃不饱,九转,大肠,神医,舍不得,OK,都比,的狗,小狗,断头饭,饿死了,大狗,宕机,吃饭,感觉,一顿,不吃,潘宏,吃饱,笑死,量杯,饿死",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385618748704607524&dateCode=20240629&ts=1719989024&sign=69c33a6d901260adc9f36289fe56a7b3,https://www.douyin.com/share/video/7385618748704607524/?mid=,-1339911.088652305,13087.4151402716
印象兴安,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=16290739&tab=&ts=1719989024&sign=d1ef5625c28d310254d463ef6ba13199,xayx2020,要怎么形容呢，大概每个东北孩子都懂……,2024/6/26 21:48:28,20秒,"想家,回家,孩子,感觉,过年,过年了,味道,回去,喜欢,想回家,大兴安岭,我家,想去东北,朋友,东北人,家乡,刷到,山海关,回家过年,闻到,好想,哭了,抱抱,回家了,有味道,好像,空气,过了,好喜欢,在东北",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7384808407460498723&dateCode=20240626&ts=1719989024&sign=7d2458e84860217503c87e0792eb1b89,https://www.douyin.com/share/video/7384808407460498723/?mid=,-2786051.105047875,19138.347219390867
34567,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=29334571&tab=&ts=1719989024&sign=b42c697b5e468a196b16cb858d635572,lalahaha7788,姐，什么时候签我#东北雨姐 #转场,2024/6/26 19:19:35,25秒,"雨姐,儿子,赛道,太像,好像,模仿,真像,长得,宕机,丝滑,哥们,九转,大肠,发呆,小众,有点像,转场,一模一样,这是,捐过,新赛道,雨哥,潘宏,我去,找到,发现,指点,亲儿子,感觉,弟弟",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7384770041864047910&dateCode=20240626&ts=1719989024&sign=17bfa6a0cf6e000f3da1948ad74e4bda,https://www.douyin.com/share/video/7384770041864047910/?mid=,1409878.6584375838,2806.7855678228675
橙啦石雷鹏,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=32214896&tab=&ts=1719989024&sign=c2ec4c9dabcb6c2a07dedcdeffcfc8bd,910436578shangan,真实的考研人 #石雷鹏老师 #考研 #研究生,2024/7/2 17:00:00,28秒,"打工,研究生,考研,工作,本科,毕业,老实,工资,本科毕业,九转,大肠,OK,专业,学历,读完,破防了,大专生,暗中观察,读研,宕机,发呆,老师,不一样,区别,两年,大专,本科生,硕士,躺平,破防",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386923367795854619&dateCode=20240702&ts=1719989024&sign=028e8df8c349dea6bc901253cd52269a,https://www.douyin.com/share/video/7386923367795854619/?mid=,3231161.822228934,214834.1223899477
哈尔滨日报冰城+,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=25909988&tab=&ts=1719989024&sign=f799d0ea35e7c24171df7ce13fc9c725,Icecityplus,“大碴粥”“咸鸭蛋”“新煮的”街边的小喇叭里，装着满满的幸福。#幸福的味道,2024/7/2 11:01:37,13秒,"好可爱,大碴粥,净化,声音,尸体,长大,咸鸭蛋,奶音,戾气,调皮,抱抱,女儿,记得,治愈,女鹅,宝宝,好听,猪头,儿歌三百首,降妖伏魔,真好听,上了,全散,少年,两口,真傻,听到,笑了,给我,鬼知道",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386868226673659177&dateCode=20240702&ts=1719989024&sign=972ca1c9403635e4a055a9839ad00736,https://www.douyin.com/share/video/7386868226673659177/?mid=,-1963928.2696841606,100277.54828547587
杨痞,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=26805779&tab=&ts=1719989024&sign=716ff3f0bbae1ea837efe783aee8e6e3,yangpi_,兄弟们 这上嘴了 是不是她有点过分了#情侣 #情侣日常,2024/7/1 21:48:28,32秒,"好好学,大小王,分不清,宝宝,哥们,视频,好好看,OK,学学,发呆,女朋友,调皮,地位,杀人,兄弟,学着点,网吧,草地,待遇,说话,擦擦,我学,想要,艾特,给你,妹子,看见了,刷到,完了,好了",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386663865104207116&dateCode=20240701&ts=1719989024&sign=5e4ba364c609b697e10cdecafc055886,https://www.douyin.com/share/video/7386663865104207116/?mid=,-2066309.960350417,6099.581402742169
Sr30,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=43852999&tab=&ts=1719989024&sign=27d426bc8697bd30811e9305fe93e394,curry030sr,巧了你也穿了白色入镜,2024/6/29 12:06:40,42秒,"好帅,感觉,OK,喜欢,学校,给你,好像,调皮,拍个,刷到,看你,给我,打篮球,女生,篮球,书包,背影,猪头,发呆,适合,马思唯,鞋子,宝宝,好喜欢,宕机,太帅了,好看,首歌,有点像,很帅",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385771742834347264&dateCode=20240629&ts=1719989024&sign=66498647de9d478e85f104cfcb8ff544,https://www.douyin.com/share/video/7385771742834347264/?mid=,376548.7015091034,343067.7016763827
訴情.,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=63550281&tab=&ts=1719989024&sign=03a6481eb33a16ef2fcc1a147017d782,78359618649,“许个愿吧 我不删这个作品 2025的这天回来看看”#音乐分享 #戴上耳机,2024/6/26 21:16:41,11秒,"希望,在一起,上岸,考上,感谢,喜欢,希望我,复读,我能,复合,找到,许愿,抱抱,还会,大学,我希望,成功,的人,和她,开心,和他,回来,幸福,家人,高考,喜欢的人,希望能,有没有,我想,中考",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7384800245764361484&dateCode=20240626&ts=1719989024&sign=533f7f161f2b258a63b6cf74f396cec3,https://www.douyin.com/share/video/7384800245764361484/?mid=,-2279448.0560245165,508.89494031292276
☘️迷糊萌宠,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=65371919&tab=&ts=1719989024&sign=6b56b902434a43aa2730d30de1806520,MIHU1230,喜乐：哎呦喂，太尴尬了，没人看见吧…臭椅子，让你摔我，走你吧😂😂#来这吸熊猫 #熊猫喜乐有多哏儿 #萌到爆炸了💥 #看一次笑一次 #大熊猫,2024/6/29 18:34:26,13秒,"椅子,喜乐,熊脸,不好意思,重复,耳朵,屁股,凳子,熊猫,孩子,太可爱了,脾气,生气了,逃跑,安徽,我待,五个小时,睡了,辛好,暂停了,搞笑,好像,去看,生理期,不出,外场,看着,不舒服,趴着,走走",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385871664325627176&dateCode=20240629&ts=1719989024&sign=8ab79b16288a2bf577e115c4b8fc681d,https://www.douyin.com/share/video/7385871664325627176/?mid=,7676025.130088493,-4789.960082197002
白瓷青梅酒,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=42636688&tab=&ts=1719989024&sign=e1021b677eeb54d6ca630550918040f1,51820441030,重生之我在UR当模特 #ootd穿搭 #时髦精 #超a,2024/7/2 17:30:20,16秒,"腕线,身材,评论区,模特,比例,照片,没过,过裆,OK,虎口,九转,大肠,现实,齐平,超模,多高,身材比例,的人,感觉,手腕,好看,拼了,好像,衣服,我去,逆天,过了,裂开,宕机,腿长",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386968402558078245&dateCode=20240702&ts=1719989024&sign=0ac252fb341ae07bd9bfc9ca73023d71,https://www.douyin.com/share/video/7386968402558078245/?mid=,-1863515.2055360503,34923.931007211664
南山兄弟,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=12034299&tab=&ts=1719989024&sign=c22e0fb2b624c1c6ca9132777deebd35,bdnanshan,看吉巴村的猴子吧,2024/6/28 16:47:37,15秒,"OK,宕机,来来来,这是,名字,村名,笑死我了,逆天,发呆,村子,老家,吉巴村,评论区,ing,九转,大肠,大王,物业,猴子,用户,疑问,man,爱吃,好村,艾特,开幕雷击,喜欢,the,one,晚安",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385473035190553867&dateCode=20240628&ts=1719989024&sign=fc7e2d6faa828f445ca85dc61ed0b1aa,https://www.douyin.com/share/video/7385473035190553867/?mid=,112757.85534119073,32140.053380317153
0.6,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=65637060&tab=&ts=1719989024&sign=e16ec9e0cb80361f666e1a7bfedb47a9,97717930139,这首歌真的拉回记忆了,2024/6/28 18:13:59,,"喜欢,感觉,帅哥,一人,发呆,好帅,宝宝,老公,OK,结婚,靠墙,首歌,有感觉,小说,男人,让我,宕机,男高,评论区,照片,猪头,调皮,两个人,好像,博主,谈不上,我妈,我爸,这不,我喜欢",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385495332727033114&dateCode=20240628&ts=1719989024&sign=566ef37677e350de4fb912b71ebf0ae1,https://www.douyin.com/share/video/7385495332727033114/?mid=,-3121436.6249055904,44609.142163204466
央美流浪哥,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=54455030&tab=&ts=1719989024&sign=160e1e550d9173c21019c1b97cddd2d3,chengyuanxing_,35岁小伙82岁大爷结伴旅行第91天 建设兵团的级别很高 是中央直辖 #关爱老人 #关爱老人传递正能量 #关注老人 #晚年生活,2024/6/29 19:29:11,10分47秒,"兵团,建设,老爷子,大爷,生产,老人,老头,感谢,戍边,时间,级别,地方,部队,黑龙江,老人家,干部,字幕,明白,新疆,屯垦,单位,河南,的人,陶峙岳,错别字,明白人,讲得,农垦,河南人,口音",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385885807271234852&dateCode=20240629&ts=1719989024&sign=df94be9793c1018b4d8c1d6f9db7b6cd,https://www.douyin.com/share/video/7385885807271234852/?mid=,5663722.503183903,-54361.131644131616
这菠听我的,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=22860486&tab=&ts=1719989024&sign=51210bebded98922f68767e1df4d2d42,54563963170,这谁能扛的住啊～好喜欢🤤#萧逸#光与夜之恋,2024/6/26 18:04:19,9秒,"喜欢,想要,链接,安排,有没有,给你,宕机,适合,买个,发呆,调皮,我要,OK,九转,大肠,喜欢吗,灵机一动,宝宝,我去,定制,齐司礼,暗中观察,床单,查理苏,给我,萧逸,你喜欢,陆沉,道德,底线",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7384750659146468634&dateCode=20240626&ts=1719989024&sign=69e6ab8b2f37fcf1ce996369e05779c9,https://www.douyin.com/share/video/7384750659146468634/?mid=,2945752.3939515236,3114.371829688912
张小猫,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=19482381&tab=&ts=1719989024&sign=63e7f4c1d3b75259cf009ae36aaab83d,Pmr567890,带着我的饭搭子去恰饭啦😜#记录平凡生活 #藏进生活里的美 #随性洒脱,2024/6/27 20:09:12,31秒,"小美女,感谢,女儿,到位,表情,爱心,小姑娘,孩子,宝贝,真好,漂亮,抱抱,好听,好漂亮,优秀,不错,好可爱,儿子,真棒,小孩,喜欢,羡慕,真好听,口型,长大,闺女,小朋友,遗憾,姑娘,女孩",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385153931233529128&dateCode=20240627&ts=1719989024&sign=e11b24efd13873a909b17fdb508ff514,https://www.douyin.com/share/video/7385153931233529128/?mid=,7828638.489165483,-83105.15017813753
量多当面霜使,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=58953344&tab=&ts=1719989024&sign=9430d41b714c8c72738deb2c3ed61a72,llq20050505,想你的时候可以随时打电话吗 哪怕是在半夜,2024/6/27 19:04:40,,"ID,id,打电话,喜欢,宝宝,OK,可以吗,推荐,不可以,不行,名字,调皮,睡觉,宕机,老公,文案,想你的,给我,帅哥,大妹子,电话,九转,大肠,给你,好帅,金牛,让我,猪头,静音,感觉",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385137298138025235&dateCode=20240627&ts=1719989024&sign=157e43125046d9b56724041560d0361f,https://www.douyin.com/share/video/7385137298138025235/?mid=,-2037366.3509835862,140648.94217433076
Baojong_,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=36178871&tab=&ts=1719989024&sign=3148c51fb7504b9c0d5b59bc90e88de5,787316030,照片的价值就是让回忆重现,2024/6/28 12:37:27,,"照片,回忆,重现,价值,相机,这是,好喜欢,喜欢,朋友,生命力,拍的,自由,感觉,出去玩,也有,合照,好像,首歌,想起,活人,鲜活,有感觉,音乐,调皮,气息,出发,OK,逞强,落泪,好想",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385408583413910818&dateCode=20240628&ts=1719989024&sign=78c05a9e8f2e527309402cc7493de660,https://www.douyin.com/share/video/7385408583413910818/?mid=,-2699376.5662409593,48599.645246468885
深海溺水鱼,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=65685043&tab=&ts=1719989024&sign=9ed51f6c789a840a10ebb00545a41c0c,WwQq0795,那医院的椅子为什么那么滑～,2024/6/28 7:40:21,40秒,"医院,医生,发烧,感觉,急诊,护士,烧到,排队,椅子,让我,不知道,给我,我妈,坐在,高烧,记得,小时,挂号,宕机,新冠,发现,意识,检查,九转,大肠,我去,力气,走路,浑身,的人",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385332017849765135&dateCode=20240628&ts=1719989024&sign=3db61392358ffece1fb375a12ecde2e4,https://www.douyin.com/share/video/7385332017849765135/?mid=,5393852.155754808,-50350.15115503447
玖川.,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=65333217&tab=&ts=1719989024&sign=2ed7cc3c3887d388dca3ea72bb71b09e,38349261095,很难不摇，需要一个动感队伍。#反差 #高级脸就要配这bgm,2024/6/26 22:55:21,,"队伍,整齐,生日快乐,喜欢,好看,杰瑞,爱看,蛮困,音乐,队列,好摇,不白看,ai,姐姐,想要,和我,摇起来,博主,fafa,妹妹,早上好,超好看,小姐姐,文案,无关,相匹配,不摇,缩小,有惊喜,乱七八糟",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7384825661195652389&dateCode=20240626&ts=1719989024&sign=3109dc7e204f9859e2062eaaa4684aba,https://www.douyin.com/share/video/7384825661195652389/?mid=,-3853780.924698749,48752.05555490715
蜂蜜黑蒜,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=59885825&tab=&ts=1719989024&sign=d26888f23e0553d90ce4cbfc19500bb7,tieGehi,#那年勘九郎毁了我的闪光梦 #植物大战僵尸杂交版 #豌豆射手差点没打死僵尸 #原创不易请勿抄袭,2024/6/29 18:50:00,41秒,"看过,视频,平台,OK,小学,好像,宕机,僵尸,植物大战,老片,笑死我了,坚果,抖音,植物,记得,九转,大肠,饺子,感觉,爱看,向日葵,看了,发呆,好看,玩意,ing,恶搞之家,幼儿园,初中,文物",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385875658636938550&dateCode=20240629&ts=1719989024&sign=69411fa199afd4f6485a1ff8f62b3e76,https://www.douyin.com/share/video/7385875658636938550/?mid=,3244543.617684929,-17535.983500056354
奥利奥🍪有点甜,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=58534048&tab=&ts=1719989024&sign=a84d91777da039c49f109cf8fcecbae2,375293679,去超市买水，结果它在货架前赖着不走啦，像个孩子一样。#狗狗 #萌宠出道计划 #狗狗的心思都写在脸上了,2024/6/28 17:36:39,45秒,"卡皮,巴拉,我家,狗狗,玩具,小熊,喜欢,好可爱,孩子,超市,小狗,狗子,毛孩子,这是,库伊拉,水豚,好像,全家,想要,小孩子,都是,主人,我以为,小宝宝,娃娃,不让,幸福,睡觉,玩玩具,也有",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385485686691925248&dateCode=20240628&ts=1719989024&sign=4f19026630bcaaa2068e32a1b416e909,https://www.douyin.com/share/video/7385485686691925248/?mid=,2472992.6546251415,-51409.99153180048
猫才不会喵喵,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=29978842&tab=&ts=1719989024&sign=bc0ca8cc8a8a3b47c91be127913e08f0,153534029,一起睡觉觉有什么不好么#金渐层 #偷拍睡觉的猫 #我镜头下的小猫,2024/6/27 10:31:17,6秒,"香薰,抽象,链接,博主,宕机,九转,大肠,中毒,笑死我了,养猫,老实,再也不玩,猫咖,推荐,助眠香薰,有毒,没点,猫都,助眠,失眠,OK,笑死了,这是,猫猫,小猫,发呆,哥们,蚊香,熏香,感觉",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385004986679233819&dateCode=20240627&ts=1719989024&sign=c42a7ed3b9f9ce04a6aed8564589cddb,https://www.douyin.com/share/video/7385004986679233819/?mid=,1741618.0253153427,-16518.997169442715
就半糖吧,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=54611859&tab=&ts=1719989024&sign=1239263cb19b09cd0b80c61f361d1e9a,83969607666,昨天吃了一点盐味重的肉肉 今天有点肿 所以奖励自己三个小时有氧 😭#自律 #健身 #运动女孩,2024/7/1 12:19:02,8秒,"喜欢,身材,健身,不白看,发呆,好看,这是,嫂子,无敌,OK,有氧,超级无敌,月亮,私信,学生,癞蛤蟆,天鹅,听懂,好像是,高德,工作,让我,找清,定位,兼职,配钥匙,配吗,算命,有没有,性格",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386517057061408026&dateCode=20240701&ts=1719989024&sign=61f439d47e535e1b2ccfe78523c0627c,https://www.douyin.com/share/video/7386517057061408026/?mid=,-466876.158113729,317693.8146146688
下了猫猫雨,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=64699475&tab=&ts=1719989024&sign=5e844f39412f109f1f031b0a68c86d53,60118431459,我以为……！😳#猫咪 #猫星人,2024/6/29 10:22:43,12秒,"试试,栓栓,睡觉,OK,笑死我了,小猫,小病,吃柠檬,九转,大肠,鬼迷,日眼,老弟,柠檬,宕机,好像,猫咪,我家,给你,猫猫,评论区,老实,调皮,尝尝,尖酸刻薄,睡着,中毒,笑死了,柠檬汁,主人",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385744948206898444&dateCode=20240629&ts=1719989024&sign=d331ffc85ce64fdbe08c33d0e9fb0f41,https://www.douyin.com/share/video/7385744948206898444/?mid=,6362653.820359068,49673.078986163484
x77🎵,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=46026085&tab=&ts=1719989024&sign=36921f00988639670a9aadc013bcd139,R9527777z,"却似你吻向他.
#DJ降调",2024/7/1 11:46:48,24秒,"清越,好听,OK,我爸,半点心,首歌,想到,感觉,喜欢,照片,豪庭,有品,粤语,的人,好好听,音乐,大行,听到,年轻,草蜢,带感,有图,就来,自首,调皮,好爽,干嘛,理解,江南,先知",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386508795574291763&dateCode=20240701&ts=1719989024&sign=8827b27740e04700f8a7d9390f8f6614,https://www.douyin.com/share/video/7386508795574291763/?mid=,-1702308.1551150559,53906.920482930145
李班长,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=31561844&tab=&ts=1719989024&sign=243291b6d813ba64869479a7c486fa21,YZ20210719,都问我军人为什么优先，你们看……❤️❤️隔着屏幕都让人心疼，辛苦了……🎉🎉 #致敬人民子弟兵 #抗洪一线 #守护人民平安,2024/6/30 8:24:01,11秒,"感谢,爱心,孩子们,辛苦了,点赞,人民,致敬,平安果,子弟兵,孩子,平安,军人,平平安安,辛苦,英雄,注意安全,祖国,幸苦,保护,解放军,辛苦啦,抱抱,中国人民解放军,咖啡,人民解放军,中国,抱拳,好孩子,战士,最棒",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386085442044710154&dateCode=20240630&ts=1719989024&sign=52ec0c833d692ac8aff7db9ace98f93c,https://www.douyin.com/share/video/7386085442044710154/?mid=,702206.9466888916,257332.9267331566
Новый мир🚴‍♀️🎧,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=64627476&tab=&ts=1719989024&sign=4f4cbe31c676494e59f2905b1928350e,End_of_my,无缝衔接#一脚蹬出了我的骑行魂 #骑行享受骑行 #感受骑行的独特魅力 #让骑行成为一种生活,2024/6/29 16:04:53,10秒,"宕机,换乘,发呆,丝滑,连招,无缝衔接,九转,大肠,OK,好丝滑,牛逼,自行车,小连招,单车,摩托,换车,转场,德芙,笑死我了,疑问,倒放,失误,无缝连接,切车换位,噢买尬,纵享丝滑,便捷,这是,滑雪,暗中观察",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385833112674028840&dateCode=20240629&ts=1719989024&sign=c8e3f282a075c2e98857b5eff556df6d,https://www.douyin.com/share/video/7385833112674028840/?mid=,840482.7824898579,23910.704600011763
老高一家人,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=62464660&tab=&ts=1719989024&sign=8561e08cded43c240f44576efe35c44b,33088978391,[老高一家人](2024-06-26)发布的视频,2024/6/26 19:45:18,20秒,"一路顺风,一路平安,感谢,美女,祝你,平安,平平安安,爱心,一生,的母亲,好人,归来,母亲,女人,儿子,平安果,眼泪,顺利,回家,心想事成,顺风顺水,孩子,点赞,顺顺利利,好儿媳,不容易,坚强,生活不易,一帆风顺,女强人",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7384776669581561140&dateCode=20240626&ts=1719989024&sign=8578e32053ba253abacc5da165c2c61c,https://www.douyin.com/share/video/7384776669581561140/?mid=,7550841.735059889,-52537.907521835354
我是谁的宝贝🥚,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=65783342&tab=&ts=1719989024&sign=7ec0b75bca7c8d00f632ef2794ba5823,dykrkydvzg8w,建党节遇到来白俄罗斯参加阅兵的三军仪仗队#白俄罗斯阅兵 #三军仪仗队白俄罗斯 #中白友谊 #建党节 #留学生,2024/7/2 4:42:54,55秒,"中国军人,国家,太帅了,中国,下雨,最帅,军人,兵哥哥,阅兵,好帅,军训,不知道,淋湿,有没有,仪仗队,队列,拐弯,音乐,真帅,威武,英姿飒爽,感觉,羡慕,大长腿,转弯,人民,全世界,国旗,喜欢,军队",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386770294830058752&dateCode=20240702&ts=1719989024&sign=0ab16a1008507d32dcf618b892876601,https://www.douyin.com/share/video/7386770294830058752/?mid=,11694073.675178884,-62094.26140556951
文娱新天地,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=15891918&tab=&ts=1719989024&sign=5c416a7269dc3e611263495c2890506c,baishidakandian,恭喜#姜妍 获得#白玉兰最佳女配角奖 领完奖到后台采访双眼红红，38岁而已，未来可期！#白玉兰奖颁奖典礼,2024/6/28 21:42:08,25秒,"姜妍,实至名归,喜欢,值得,姚儿,好漂亮,恭喜,演技,感觉,漂亮,好看,好美,好喜欢,开心,妈呀,演员,身材,南来北往,性格,二胖,真好,迪斯科,做饭,得奖,姚玉玲,我喜欢,很喜欢,姑娘,角色,长得",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385548970866543884&dateCode=20240628&ts=1719989024&sign=637920a9c90f092e50e42a29fc3b847a,https://www.douyin.com/share/video/7385548970866543884/?mid=,13250557.41513012,-97946.40577241319
心之所动,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=53329234&tab=&ts=1719989024&sign=28656fd070a741890f9fcdfc6f75f44f,susuyasusuya,哎，这。。。。。。啊？？？#神奇动物在抖音,2024/7/1 15:26:10,5秒,"宕机,发呆,睡了,睡觉了,幻术,看了,幻觉,菌子,疑问,九转,大肠,没看懂,熬夜,明白,屁股,原理,OK,没吃,看不懂,噢买尬,好像,抖音,惊恐,这是,我以为,完了,大屁股,可恶,没睡醒,迷糊",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386565296238169383&dateCode=20240701&ts=1719989024&sign=82377d4a7ab5543501a3549d85fc6119,https://www.douyin.com/share/video/7386565296238169383/?mid=,6736125.899785873,-5801.009776797478
